,A,B,C,D,E,F,H,K,L
ConcatenatedReads_8PB_TP_3_all,0.31766560673713684,0.0,0.0,0.0,0.09003826230764389,0.3875289559364319,0.02880101650953293,0.09473983943462372,0.0
ConcatenatedReads_8PB_TP_4_all,0.37230628728866577,0.0,0.02535303123295307,0.010071993805468082,0.0734337717294693,0.3586530089378357,0.018492721021175385,0.09957657754421234,0.0
ConcatenatedReads_8PB_TP_5_all,0.3457060158252716,0.012821461074054241,0.02088826708495617,0.0,0.10468176752328873,0.30327051877975464,0.014084774069488049,0.12322307378053665,0.0
ConcatenatedReads_9AA_TP_1_all,0.39559096097946167,0.0,0.40070274472236633,0.0,0.1589137762784958,0.0,0.0,0.0,0.0
ConcatenatedReads_9AA_TP_2_all,0.3589702844619751,0.0,0.20473572611808777,0.0,0.30025985836982727,0.0,0.0,0.07583329826593399,0.0
ConcatenatedReads_9AA_TP_3_all,0.5976395010948181,0.0,0.30709555745124817,0.0,0.0705748051404953,0.0,0.0,0.0,0.0
ConcatenatedReads_9PA_TP_2_all,0.0,0.0,0.0,0.19805115461349487,0.0,0.0,0.0,0.5691837668418884,0.0
ConcatenatedReads_9PA_TP_3_all,0.07955711334943771,0.007341065909713507,0.0,0.17245274782180786,0.15128304064273834,0.0,0.03117440827190876,0.4157889485359192,0.0
ConcatenatedReads_OCA_TP_2_all,0.013451647944748402,0.0,0.05995001271367073,0.08298289775848389,0.0,0.6249087452888489,0.0750429704785347,0.050830818712711334,0.0
ConcatenatedReads_OCA_TP_4_all,0.4865054488182068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_OCB_TP_2_all,0.623184859752655,0.0,0.0,0.016340937465429306,0.0,0.0,0.18994563817977905,0.1175338551402092,0.0
ConcatenatedReads_10AA_5_MG5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_10PA_5_MG5,0.1145513504743576,0.0,0.0,0.0,0.0,0.0,0.03146342188119888,0.8223820328712463,0.0
ConcatenatedReads_10PB_5_MG5,0.6604442596435547,0.0,0.0,0.0,0.0,0.0,0.0,0.29753121733665466,0.0
ConcatenatedReads_11AA_1_MG6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
